sample_num,Sample_ID,Plot_ID,tree_num,DBH_cm,which_to_which,dist_m,angle_deg,Departure,Latitude,x_coord,y_coord
corner,corner,HEW11,C,NA,,0,0,0,0,0,0
1,Sample_1,HEW11,1,54.1,C to 1,1.45,78,1.41831402106402,0.301471951685751,1.41831402106402,0.301471951685751
2,Sample_2,HEW11,2,18.3,1 to  2,0.85,74,0.817072441547571,0.234291752444449,2.23538646261159,0.5357637041302
3,Sample_3,HEW11,3,11.4,2 to 3 ,5.7,106,5.47919166684842,-1.57113292815689,7.71457812946001,-1.03536922402669
4,Sample_4,HEW11,4,15.1,3 to 4,6.05,166,1.46362746837799,-5.87028914396978,9.178205597838,-6.90565836799647
5,Sample_5,HEW11,5,12.2,4 to 5,3.21,278,-3.17876050066044,0.44674565408181,5.99944509717756,-6.45891271391466
6,Sample_6,HEW11,6,30.3,5 to 6,3.75,172,0.521899128600245,-3.71350525778089,6.5213442257778,-10.1724179716956
corner,corner,HEW35,C,NA,,,,0,0,0,0
7,Sample_7,HEW35,1,35.8,C to 1,2.65,312,-1.96933378751509,1.77319610685098,-1.96933378751509,1.77319610685098
8,Sample_8,HEW35,2,18.7,1 to 2,2.45,24,0.996504775535711,2.23818637122437,-0.972829011979384,4.01138247807535
9,Sample_9,HEW35,3,80.6,2 to 3 ,6.3,274,-6.28465351663689,0.439465784587989,-7.25748252861628,4.45084826266334
10,Sample_10,HEW35,4,9.2,3 to 4,4.6,334,-2.01650727522976,4.13445261297617,-9.27398980384603,8.5853008756395
11,Sample_11,HEW35,5,15.4,4 to 5,8.5,10,1.47600951016891,8.37086590060377,-7.79798029367713,16.9561667762433
12,Sample_12,HEW35,6,11.3,5 to 6,4.65,134,3.34493007157473,-3.23016142263434,-4.4530502221024,13.7260053536089
corner,corner,HEW36,C,NA,,,,,,0,0
13,Sample_13,HEW36,1,10.3,C to 1,4.35,28,2.04220129811862,3.84082202893633,2.04220129811862,3.84082202893633
14,Sample_14,HEW36,2,73,1 to 2,3.4,2,0.118658288788503,3.39792881186493,2.16085958690713,7.23875084080126
15,Sample_15,HEW36,3,9.7,2 to 3  ,2.3,86,2.2943973155976,0.160439889611488,4.45525690250472,7.39919073041275
16,Sample_16,HEW36,4,41.5,3 to 4,7.55,116,6.78589504955871,-3.30970215825754,11.2411519520634,4.08948857215521
17,Sample_17,HEW36,5,19,4 to 5,15.95,18,4.92882106028041,15.1693514349077,16.1699730123438,19.2588400070629
18,Sample_18,HEW36,6,16.4,4 to 6,9.14,106,8.78593190087624,-2.51932543216737,20.0270838529397,1.57016313998784
corner,corner,HEW37,C,NA,,,,,,0,0
19,Sample_19,HEW37,1,51.5,C to 1,5.5,108,5.23081083962335,-1.69959346906221,5.23081083962335,-1.69959346906221
20,Sample_20,HEW37,2,88.7,1 to 2,12,90,12,7.34788079488412E-16,17.2308108396233,-1.69959346906221
21,Sample_21,HEW37,3,12,2 to 3 ,3.7,322,-2.27794745870494,2.91563978834487,14.9528633809184,1.21604631928266
22,Sample_22,HEW37,4,27.2,3 to 4,13.4,176,0.934736748171282,-13.3673582734816,15.8876001290897,-12.151311954199
23,Sample_23,HEW37,5,17.5,4 to 5,7.75,218,-4.77137643377385,-6.1070833404521,11.1162236953158,-18.2583952946511
24,Sample_24,HEW37,6,12.8,2 to 6,4.15,150,2.075,-3.59400542570542,19.3058108396233,-5.29359889476763
corner,corner,HEW34,C,NA,,,,,,0,0
25,Sample_25,HEW34,1,22,C to 1,2.8,298,-2.472253260005,1.31452037580049,-2.472253260005,1.31452037580049
26,Sample_26,HEW34,2,38.1,1 to 2,6.4,296,-5.75228189631467,2.8055753394501,-8.22453515631966,4.12009571525059
27,Sample_27,HEW34,3,14.4,2 to 3 ,0.6,340,-0.205212085995402,0.563815572471545,-8.42974724231507,4.68391128772213
28,Sample_28,HEW34,4,19.2,3 to 4,3.2,276,-3.18247006517847,0.334491082456492,-11.6122173074935,5.01840237017863
29,Sample_29,HEW34,5,8,4 to 5,7.55,8,1.05075691224849,7.47652391899886,-10.561460395245,12.4949262891775
30,Sample_30,HEW34,6,40.1,5 to 6,5.2,62,4.59132748286642,2.44125212648663,-5.97013291237863,14.9361784156641
corner,corner,HEW49,C,NA,,,,,,0,0
31,Sample_31,HEW49,1,13.5,C to 1,4,322,-2.46264590130263,3.15204301442689,-2.46264590130263,3.15204301442689
32,Sample_32,HEW49,2,22,1 to 2,5.8,316,-4.02901854866219,4.17217084196418,-6.49166444996482,7.32421385639106
33,Sample_33,HEW49,3,45.9,2 to 3 ,5.1,202,-1.91049362642115,-4.72863765829062,-8.40215807638597,2.59557619810045
34,Sample_34,HEW49,4,37.3,3 to 4,6.85,320,-4.4030951263528,5.247404435365,-12.8052532027388,7.84298063346545
35,Sample_35,HEW49,5,23,4 to 5,2.55,232,-2.00942742169714,-1.56993676208043,-14.8146806244359,6.27304387138502
36,Sample_36,HEW49,6,7.7,5 to 6,11.1,8,1.54482142065673,10.9919755630314,-13.2698592037792,17.2650194344164
corner,corner,HEW31,C,NA,,,,,,0,0
37,Sample_37,HEW31,1,62.5,C to 1,6,346,-1.45153137359801,5.82177435765598,-1.45153137359801,5.82177435765598
38,Sample_38,HEW31,2,29.5,C to 2,7.75,58,6.5723727452123,4.10687429780734,6.5723727452123,4.10687429780734
39,Sample_39,HEW31,3,31.1,2 to 3 ,3.7,72,3.51890911029207,1.14336287918731,10.0912818555044,5.25023717699464
40,Sample_40,HEW31,4,12.6,3 to 4,7.6,30,3.8,6.58179306876173,13.8912818555044,11.8320302457564
41,Sample_41,HEW31,5,23.5,4 to 5,1.6,78,1.56503616117409,0.332658705308415,15.4563180166785,12.1646889510648
42,Sample_42,HEW31,6,10.7,5 to 6,3.09,134,2.22275998304643,-2.1464943647183,17.6790779997249,10.0181945863465
corner,corner,HEW32,C,NA,,,,,,0,0
43,Sample_43,HEW32,1,7.9,C to 1,9.2,284,-8.92672068173917,2.22568143951694,-8.92672068173917,2.22568143951694
44,Sample_44,HEW32,2,6.4,1 to 2,3.85,292,-3.56965784008213,1.44223538465126,-12.4963785218213,3.6679168241682
45,Sample_45,HEW32,3,22.6,2 to 3 ,7.35,300,-6.36528671781562,3.675,-18.8616652396369,7.3429168241682
46,Sample_46,HEW32,4,24.5,3 to 4,4.1,214,-2.29269090423006,-3.39905404747567,-21.154356143867,3.94386277669253
47,Sample_47,HEW32,5,50.3,3 to 5,10.7,56,8.87070202633895,5.98336406713699,-9.99096321329797,13.3262808913052
48,Sample_48,HEW32,6,62.4,5 to 6,5.95,70,5.59117109367616,2.03501985278773,-4.39979211962182,15.3613007440929
corner,corner,HEW5,C,NA,,,,,,0,0
49,Sample_49,HEW5,1,7.9,C to 1,4.95,296,-4.44903052918088,2.16993717660593,-4.44903052918088,2.16993717660593
50,Sample_50,HEW5,2,31.5,1 to 2,3.6,330,-1.8,3.11769145362398,-6.24903052918088,5.28762863022991
51,Sample_51,HEW5,3,40.7,2 to 3 ,2.15,320,-1.38199336082606,1.6469955527058,-7.63102389000694,6.93462418293571
52,Sample_52,HEW5,4,15.6,3 to 4,3.45,226,-2.48172231116835,-2.39657137808354,-10.1127462011753,4.53805280485217
53,Sample_53,HEW5,5,15.9,4 to 5,4.4,164,1.2128043655948,-4.2295514621286,-8.89994183558049,0.308501342723569
54,Sample_54,HEW5,6,10.3,5 to 6,3.6,240,-3.11769145362398,-1.8,-12.0176332892045,-1.49149865727643
corner,corner,HEW26,C,NA,,,,,,0,0
55,Sample_55,HEW26,1,34,C to 1,2.5,186,-0.261321158169134,-2.48630473842068,-0.261321158169134,-2.48630473842068
56,Sample_56,HEW26,2,9.2,1 to 2,1.8,288,-1.71190172933128,0.556230589874905,-1.97322288750041,-1.93007414854578
57,Sample_57,HEW26,3,11.9,2 to 3 ,1.15,290,-1.08064651390379,0.393323164824519,-3.0538694014042,-1.53675098372126
58,Sample_58,HEW26,4,45.7,3 to 4,4.7,298,-4.14985368643696,2.20651634509368,-7.20372308784116,0.669765361372426
59,Sample_59,HEW26,5,15.4,4 to 5,13.5,200,-4.61727193489653,-12.6858503806098,-11.8209950227377,-12.0160850192373
60,Sample_60,HEW26,6,16.8,5 to 6,2.65,274,-2.64354473318853,0.184854655421932,-14.4645397559262,-11.8312303638154
corner,corner,HEW33,C,NA,,,,,,0,0
61,Sample_61,HEW33,1,14.4,C to 1,9.55,88,9.54418239803237,0.333290193508885,9.54418239803237,0.333290193508885
62,Sample_62,HEW33,2,20.3,1 to 2,0.65,8,0.090462515624043,0.643674244682021,9.63464491365641,0.976964438190906
63,Sample_63,HEW33,3,61.9,1 to 3 ,3.15,154,1.38086911238559,-2.83120124584238,10.925051510418,-2.49791105233349
64,Sample_64,HEW33,4,71.4,1 to 4,10.4,218,-6.40287934338684,-8.19531183750991,3.14130305464552,-7.86202164400103
65,Sample_65,HEW33,5,19.6,4 to 5,11.9,286,-11.439014181666,3.28008453422228,-8.29771112702047,-4.58193710977874
66,Sample_66,HEW33,6,46.9,5 to 6,2.8,140,1.79980530712231,-2.14492444073314,-6.49790581989816,-6.72686155051188
corner,corner,HEW8,C,NA,,,,,,0,0
67,Sample_67,HEW8,1,20.6,C to 1,1.45,33,0.789726600771789,1.21607232352086,0.789726600771789,1.21607232352086
68,Sample_68,HEW8,2,15.9,1 to 2,8.65,36,5.08434243232989,6.9979970013433,5.87406903310168,8.21406932486416
69,Sample_69,HEW8,3,9.1,2 to 3 ,1.4,348,-0.291076367144864,1.36940664102733,5.58299266595682,9.58347596589149
70,Sample_70,HEW8,4,32.3,3 to 4,6.9,148,3.65644292320911,-5.85153186347934,9.23943558916593,3.73194410241215
71,Sample_71,HEW8,5,48.1,4 to 5,3.7,90,3.7,2.2655965784226E-16,12.9394355891659,3.73194410241215
72,Sample_72,HEW8,6,9.6,5 to 6,0.4,194,-0.096768758239867,-0.388118290510399,12.8426668309261,3.34382581190175
corner,corner,HEW27,C,,,,,,,0,0
73,Sample_73,HEW27,1,10.8,C to 1,4.6,14,1.11284071975847,4.46336034086958,1.11284071975847,4.46336034086958
74,Sample_74,HEW27,2,41.9,1 to 2,2.3,60,1.99185842870421,1.15,3.10469914846268,5.61336034086958
75,Sample_75,HEW27,3,10.7,2 to 3 ,0.55,168,0.114351429949768,-0.537981180403593,3.21905057841245,5.07537916046599
76,Sample_76,HEW27,4,19.4,3 to 4,5.75,142,3.54005348312254,-4.53106183323865,6.75910406153498,0.54431732722734
77,Sample_77,HEW27,5,22.5,4 to 5,6.9,94,6.88319194679279,-0.481319668834465,13.6422960083278,0.062997658392875
78,Sample_78,HEW27,6,62.3,5 to 6,3.3,106,3.17216359659645,-0.909603274196097,16.8144596049242,-0.846605615803222
corner,corner,HEW28,C,NA,,,,,,0,0
79,Sample_79,HEW28,1,12.9,C to 1,6.2,280,-6.10580806867569,1.07661870153497,-6.10580806867569,1.07661870153497
80,Sample_80,HEW28,2,9.9,1 to 2,0.6,298,-0.529768555715356,0.281682937671534,-6.63557662439105,1.3583016392065
81,Sample_81,HEW28,3,37.5,1 to 3 ,1.25,28,0.586839453482364,1.10368449107366,-6.04873717090868,2.46198613028016
82,Sample_82,HEW28,4,83.9,1 to 4,7.3,274,-7.28221756689672,0.509222258332114,-13.3309547378054,2.97120838861227
83,Sample_83,HEW28,5,23.8,4 to 5,0.3,282,-0.293444280220142,0.062373507245328,-13.6243990180255,3.0335818958576
84,Sample_84,HEW28,6,13.7,5 to 6,5.1,246,-4.65908183397726,-2.07435687968658,-18.2834808520028,0.95922501617102
corner,corner,HEW20,C,NA,,,,,,0,0
85,Sample_85,HEW20,1,19,C to 1,5.85,264,-5.8179530879044,-0.611491510115777,-5.8179530879044,-0.611491510115777
86,Sample_86,HEW20,2,38.3,1 to 2,2.15,274,-2.14476270805862,0.149976418549869,-7.96271579596302,-0.461515091565908
87,Sample_87,HEW20,3,8.5,1 to 3 ,0.45,44,0.312596266706549,0.323702910152393,-7.65011952925647,-0.137812181413515
88,Sample_88,HEW20,4,52.3,1 to 4,2.7,240,-2.33826859021798,-1.35,-9.98838811947446,-1.48781218141352
89,Sample_89,HEW20,5,16.8,4 to 5,6.7,186,-0.700340703893278,-6.66329669896743,-10.6887288233677,-8.15110888038095
90,Sample_90,HEW20,6,7.4,C to 6,7.45,158,2.79081912094855,-6.90751971652257,2.79081912094855,-6.90751971652257
corner,corner,HEW43,C,NA,,,,,,0,0
91,Sample_91,HEW43,1,12.3,C to 1,1.95,32,1.03334256525475,1.65369378750503,1.03334256525475,1.65369378750503
92,Sample_92,HEW43,2,11.1,1 to 2,2.45,348,-0.509383642503512,2.39646162179782,0.523958922751238,4.05015540930286
93,Sample_93,HEW43,3,16.8,1 to 3 ,3.5,298,-3.09031657500624,1.64315046975062,-2.56635765225501,5.69330587905347
94,Sample_94,HEW43,4,18.4,1 to 4,3.2,320,-2.05692035099693,2.45134221798073,-4.62327800325194,8.1446480970342
95,Sample_95,HEW43,5,12,4 to 5,2.25,290,-2.11430839676829,0.769545322482755,-6.73758640002023,8.91419341951696
96,Sample_96,HEW43,6,18.9,5 to 6,3.06,204,-1.24461412781195,-2.79544910038636,-7.98220052783218,6.1187443191306
