Mean_R1,sample_num_R1,Mean_R2,sample_num_R2,quant_reading,sample,Sample_or_Control
3.6,40,8.4,40,6,Sample_40,True Sample
6.5,54,10.6,54,8.55,Sample_54,True Sample
7,73,3.8,73,5.4,Sample_73,True Sample
17.1,1,4.8,1,10.95,Sample_1,True Sample
11.9,21,2.9,21,7.4,Sample_21,True Sample
10,41,2.4,41,6.2,Sample_41,True Sample
8.9,76,4.3,76,6.6,Sample_76,True Sample
10.4,87,5.3,87,7.85,Sample_87,True Sample
12.8,85,4.6,85,8.7,Sample_85,True Sample
10.6,18,4.7,18,7.65,Sample_18,True Sample
7.2,25,3.3,25,5.25,Sample_25,True Sample
3,94,6.7,94,4.85,Sample_94,True Sample
0.4,BL-1,0.5,BL,0.45,Sample_BL_1,Control Sample
0.2,BL-2,1.8,BL_2,1,Sample_BL_2,Control Sample
0,PCN-1,0,PCN,0.05,Sample_PCN_1,Control Sample
10,14,8.2,14,9.1,Sample_14,True Sample
0,PCN-3,0,PCN_3,0.05,Sample_PCN_3,Control Sample
12.4,3,10.1,3,11.25,Sample_3,True Sample
10.7,50,8.8,50,9.75,Sample_50,True Sample
11.4,45,9.2,45,10.3,Sample_45,True Sample
11.4,31,10,31,10.7,Sample_31,True Sample
11.3,79,7.9,79,9.6,Sample_79,True Sample
11.6,49,3.6,49,7.6,Sample_49,True Sample
10.8,71,7.3,71,9.05,Sample_71,True Sample
11.3,23,9.4,23,10.35,Sample_23,True Sample
9.1,96,3.7,96,6.4,Sample_96,True Sample
11.8,47,8.2,47,10,Sample_47,True Sample
7.6,29,8.1,29,7.85,Sample_29,True Sample
7.6,34,3.6,34,5.6,Sample_34,True Sample
5.4,91,7.3,91,6.35,Sample_91,True Sample
8.9,43,9.3,43,9.1,Sample_43,True Sample
8.3,46,7.7,46,8,Sample_46,True Sample
10.4,81,3.6,81,7,Sample_81,True Sample
7.3,42,3.8,42,5.55,Sample_42,True Sample
0.2,BL-6,0.5,BL_6,0.35,Sample_BL_6,Control Sample
12.1,55,7.4,55,9.75,Sample_55,True Sample
11.9,33,8.5,33,10.2,Sample_33,True Sample
0,PCN-2,0,PCN_2,0.05,Sample_PCN_2,Control Sample
3.8,72,4.7,72,4.25,Sample_72,True Sample
14,2,6.5,2,10.25,Sample_2,True Sample
12.5,63,6.7,63,9.6,Sample_63,True Sample
9.8,37,9.2,37,9.5,Sample_37,True Sample
11.2,52,10.2,52,10.7,Sample_52,True Sample
10.3,15,10.5,15,10.4,Sample_15,True Sample
15.4,65,10.7,65,13.05,Sample_65,True Sample
10.2,10,10.7,10,10.45,Sample_10,True Sample
8.7,86,9.6,86,9.15,Sample_86,True Sample
12.8,83,9.2,83,11,Sample_83,True Sample
9.3,13,8.1,13,8.7,Sample_13,True Sample
13.9,66,8.4,66,11.15,Sample_66,True Sample
13.7,32,7,32,10.35,Sample_32,True Sample
11.6,7,10.3,7,10.95,Sample_7,True Sample
0.1,PCN-4,0.1,PCN_4,0.1,Sample_PCN_4,Control Sample
11.3,89,4.3,89,7.8,Sample_89,True Sample
10.6,60,7.8,60,9.2,Sample_60,True Sample
9.5,51,7.5,51,8.5,Sample_51,True Sample
9.9,24,15.8,24,12.85,Sample_24,True Sample
12.9,30,15.6,30,14.25,Sample_30,True Sample
10.6,19,14.6,19,12.6,Sample_19,True Sample
8.7,69,8.5,69,8.6,Sample_69,True Sample
10.9,26,15.9,26,13.4,Sample_26,True Sample
11.3,4,17.8,4,14.55,Sample_4,True Sample
0.2,BL-5,0.2,BL_5,0.2,Sample_BL_5,Control Sample
11.1,11,16,11,13.55,Sample_11,True Sample
11.2,28,16,28,13.6,Sample_28,True Sample
12.8,58,15.9,58,14.35,Sample_58,True Sample
10.2,48,14.5,48,12.35,Sample_48,True Sample
16.9,6,15.6,6,16.25,Sample_6,True Sample
13.2,61,10.5,61,11.85,Sample_61,True Sample
10.5,95,12.8,95,11.65,Sample_95,True Sample
2.6,77,13.2,77,7.9,Sample_77,True Sample
8.8,44,9.7,44,9.25,Sample_44,True Sample
0,PCN-6,0,PCN_6,0.05,Sample_PCN_6,Control Sample
0.3,BL-3,0,BL_3,0.15,Sample_BL_3,Control Sample
15.1,62,10.8,62,12.95,Sample_62,True Sample
7.1,22,11,22,9.05,Sample_22,True Sample
11.7,68,11.2,68,11.45,Sample_68,True Sample
12.7,9,19.6,9,16.15,Sample_9,True Sample
11.1,90,15.4,90,13.25,Sample_90,True Sample
8,35,17.5,35,12.75,Sample_35,True Sample
13.1,82,14.5,82,13.8,Sample_82,True Sample
0,PCN-7,0.6,PCN_7,0.3,Sample_PCN_7,Control Sample
2.8,64,15.4,64,9.1,Sample_64,True Sample
9.6,67,13.6,67,11.6,Sample_67,True Sample
10.2,20,15.5,20,12.85,Sample_20,True Sample
12.7,74,19.7,74,16.2,Sample_74,True Sample
4.5,93,16,93,10.25,Sample_93,True Sample
16.2,88,16.4,88,16.3,Sample_88,True Sample
14,27,12.6,27,13.3,Sample_27,True Sample
14.1,16,16.2,16,15.15,Sample_16,True Sample
5.4,70,14.7,70,10.05,Sample_70,True Sample
0,PCN-5,0,PCN_5,0.05,Sample_PCN_5,Control Sample
9.6,56,14.8,56,12.2,Sample_56,True Sample
11.4,38,0.1,38,5.75,Sample_38,True Sample
16.6,78,18.5,78,17.55,Sample_78,True Sample
0,PCN-8,0,PCN_8,0.05,Sample_PCN_8,Control Sample
14.3,57,19,57,16.65,Sample_57,True Sample
16.5,80,18.5,80,17.5,Sample_80,True Sample
11.2,5,18.5,5,14.85,Sample_5,True Sample
8.7,17,14.2,17,11.45,Sample_17,True Sample
11.7,75,14.9,75,13.3,Sample_75,True Sample
16.7,59,18.8,59,17.75,Sample_59,True Sample
12.6,84,16.6,84,14.6,Sample_84,True Sample
15.4,12,19.8,12,17.6,Sample_12,True Sample
11.5,39,14.6,39,13.05,Sample_39,True Sample
9.3,92,14.3,92,11.8,Sample_92,True Sample
12.3,8,16.4,8,14.35,Sample_8,True Sample
1.7,BL-4,3.2,BL_4,2.45,Sample_BL_4,Control Sample
12.4,36,15.8,36,14.1,Sample_36,True Sample
11.8,53,15.6,53,13.7,Sample_53,True Sample
